N,종목명,현재가,전일비,등락률,액면가,시가,고가,저가
818.0,미래에셋 코스피 양매도 5% OTM ETN,8815.0,보합0,0.00%,0.0,8815.0,8815.0,8815.0
819.0,ACE 미국500데일리타겟커버드콜(합성),11170.0,상승  45,+0.40%,0.0,11140.0,11185.0,11140.0
820.0,삼영,3875.0,상승  115,+3.06%,500.0,3890.0,3920.0,3730.0
821.0,한투 블룸버그 인버스 2X 천연가스선물 ETN,65745.0,하락  195,-0.30%,0.0,65950.0,66200.0,65700.0
822.0,에스엠벡셀,1175.0,상승  75,+6.82%,500.0,1125.0,1175.0,1070.0
823.0,디씨엠,11420.0,하락  80,-0.70%,500.0,11390.0,11460.0,11340.0
824.0,자이에스앤디,3355.0,하락  35,-1.03%,1000.0,3390.0,3440.0,3345.0
825.0,KODEX 한국부동산리츠인프라,4540.0,하락  25,-0.55%,0.0,4580.0,4580.0,4510.0
826.0,ACE 25-06 회사채(AA-이상)액티브,10715.0,하락  10,-0.09%,0.0,10725.0,10725.0,10715.0
827.0,동성제약,4890.0,상승  210,+4.49%,1000.0,4655.0,4960.0,4640.0
828.0,종근당바이오,23200.0,상승  200,+0.87%,2500.0,23100.0,23500.0,22800.0
829.0,한솔테크닉스,3960.0,보합0,0.00%,5000.0,3915.0,3985.0,3890.0
830.0,유화증권,2235.0,하락  30,-1.32%,1000.0,2260.0,2290.0,2235.0
831.0,태경비케이,4580.0,하락  105,-2.24%,500.0,4680.0,4680.0,4425.0
832.0,KH 필룩스,6630.0,보합0,0.00%,500.0,0.0,0.0,0.0
833.0,SOL 미국S&P500,18155.0,상승  90,+0.50%,0.0,18185.0,18185.0,18110.0
834.0,디와이파워,11340.0,하락  80,-0.70%,500.0,11500.0,11590.0,11300.0
835.0,극동유화,3590.0,하락  20,-0.55%,500.0,3630.0,3630.0,3580.0
836.0,TIGER 바이오TOP10,7150.0,하락  140,-1.92%,0.0,7290.0,7290.0,7135.0
837.0,SOL 2차전지소부장Fn,4130.0,하락  200,-4.62%,0.0,4330.0,4330.0,4090.0
838.0,1Q 현대차그룹채권(A+이상)&국고통안,50340.0,하락  20,-0.04%,0.0,50355.0,50355.0,50340.0
839.0,만호제강,29950.0,하락  400,-1.32%,1000.0,30050.0,30300.0,29650.0
840.0,제일파마홀딩스,7770.0,하락  40,-0.51%,500.0,7860.0,7880.0,7750.0
841.0,KODEX 2차전지핵심소재10,4375.0,하락  265,-5.71%,0.0,4650.0,4660.0,4355.0
842.0,진흥기업,849.0,하락  23,-2.64%,500.0,880.0,880.0,849.0
843.0,아모레G3우(전환),17340.0,하락  40,-0.23%,500.0,17380.0,17700.0,17310.0
844.0,대창,1346.0,하락  20,-1.46%,500.0,1414.0,1422.0,1340.0
845.0,KODEX 미국나스닥100선물(H),25755.0,상승  335,+1.32%,0.0,25750.0,25795.0,25735.0
846.0,금강공업,4170.0,하락  20,-0.48%,1000.0,4190.0,4235.0,4145.0
847.0,KIB플러그에너지,515.0,보합0,0.00%,500.0,0.0,0.0,0.0
848.0,현대약품,3810.0,하락  110,-2.81%,500.0,3900.0,3900.0,3785.0
849.0,TIGER 미국AI빅테크10,12165.0,상승  185,+1.54%,0.0,12210.0,12220.0,12045.0
850.0,SOL 미국테크TOP10,13890.0,상승  285,+2.09%,0.0,13880.0,13900.0,13800.0
851.0,TIGER 미국나스닥100레버리지(합성),28245.0,상승  900,+3.29%,0.0,27810.0,28295.0,27345.0
852.0,RISE 국고채3년선물인버스,109185.0,상승  185,+0.17%,0.0,108950.0,109185.0,108950.0
853.0,신세계푸드,31250.0,하락  50,-0.16%,5000.0,31050.0,31250.0,30850.0
854.0,RISE IT플러스,14865.0,하락  270,-1.78%,0.0,15115.0,15115.0,14835.0
855.0,유한양행우,102300.0,"하락  5,100",-4.75%,1000.0,106900.0,106900.0,100100.0
856.0,KCTC,4025.0,보합0,0.00%,500.0,4040.0,4050.0,3960.0
857.0,ACE 2월만기자동연장회사채AA-이상액티브,10370.0,상승  10,+0.10%,0.0,10375.0,10375.0,10365.0
858.0,KODEX 미국배당커버드콜액티브,12085.0,하락  35,-0.29%,0.0,12045.0,12095.0,12030.0
859.0,한투 나스닥 100 ETN,23995.0,상승  350,+1.48%,0.0,23995.0,23995.0,23960.0
860.0,PLUS 국고채10년액티브,55410.0,하락  330,-0.59%,0.0,55790.0,55790.0,55410.0
